# Cao Urban Trainer v1.0 Ped Model Catalog
# Format: Category|model_name
# You can add addon/custom ped models here, one per line.
# The script validates each model in-game before spawning.
Ambient Female|a_f_m_beach_01
Ambient Female|a_f_m_bevhills_01
Ambient Female|a_f_m_bevhills_02
Ambient Female|a_f_m_bodybuild_01
Ambient Female|a_f_m_business_02
Ambient Female|a_f_m_downtown_01
Ambient Female|a_f_m_eastsa_01
Ambient Female|a_f_m_eastsa_02
Ambient Female|a_f_m_fatbla_01
Ambient Female|a_f_m_fatcult_01
Ambient Female|a_f_m_fatwhite_01
Ambient Female|a_f_m_ktown_01
Ambient Female|a_f_m_ktown_02
Ambient Female|a_f_m_prolhost_01
Ambient Female|a_f_m_salton_01
Ambient Female|a_f_m_skidrow_01
Ambient Female|a_f_m_soucent_01
Ambient Female|a_f_m_soucent_02
Ambient Female|a_f_m_soucentmc_01
Ambient Female|a_f_m_tourist_01
Ambient Female|a_f_m_tramp_01
Ambient Female|a_f_m_trampbeac_01
Ambient Female|a_f_o_genstreet_01
Ambient Female|a_f_o_indian_01
Ambient Female|a_f_o_ktown_01
Ambient Female|a_f_o_salton_01
Ambient Female|a_f_o_soucent_01
Ambient Female|a_f_o_soucent_02
Ambient Female|a_f_y_beach_01
Ambient Female|a_f_y_bevhills_01
Ambient Female|a_f_y_bevhills_02
Ambient Female|a_f_y_bevhills_03
Ambient Female|a_f_y_bevhills_04
Ambient Female|a_f_y_business_01
Ambient Female|a_f_y_business_02
Ambient Female|a_f_y_business_03
Ambient Female|a_f_y_business_04
Ambient Female|a_f_y_clubcust_01
Ambient Female|a_f_y_clubcust_02
Ambient Female|a_f_y_clubcust_03
Ambient Female|a_f_y_eastsa_01
Ambient Female|a_f_y_eastsa_02
Ambient Female|a_f_y_eastsa_03
Ambient Female|a_f_y_epsilon_01
Ambient Female|a_f_y_femaleagent
Ambient Female|a_f_y_fitness_01
Ambient Female|a_f_y_fitness_02
Ambient Female|a_f_y_genhot_01
Ambient Female|a_f_y_golfer_01
Ambient Female|a_f_y_hiker_01
Ambient Female|a_f_y_hippie_01
Ambient Female|a_f_y_hipster_01
Ambient Female|a_f_y_hipster_02
Ambient Female|a_f_y_hipster_03
Ambient Female|a_f_y_hipster_04
Ambient Female|a_f_y_indian_01
Ambient Female|a_f_y_juggalo_01
Ambient Female|a_f_y_runner_01
Ambient Female|a_f_y_rurmeth_01
Ambient Female|a_f_y_scdressy_01
Ambient Female|a_f_y_skater_01
Ambient Female|a_f_y_soucent_01
Ambient Female|a_f_y_soucent_02
Ambient Female|a_f_y_soucent_03
Ambient Female|a_f_y_tennis_01
Ambient Female|a_f_y_topless_01
Ambient Female|a_f_y_tourist_01
Ambient Female|a_f_y_tourist_02
Ambient Female|a_f_y_vinewood_01
Ambient Female|a_f_y_vinewood_02
Ambient Female|a_f_y_vinewood_03
Ambient Female|a_f_y_vinewood_04
Ambient Female|a_f_y_gencaspat_01
Ambient Female|a_f_y_smartcaspat_01
Ambient Female|a_f_y_yoga_01
Ambient Male|a_m_m_acult_01
Ambient Male|a_m_m_afriamer_01
Ambient Male|a_m_m_beach_01
Ambient Male|a_m_m_beach_02
Ambient Male|a_m_m_bevhills_01
Ambient Male|a_m_m_bevhills_02
Ambient Male|a_m_m_business_01
Ambient Male|a_m_m_eastsa_01
Ambient Male|a_m_m_eastsa_02
Ambient Male|a_m_m_farmer_01
Ambient Male|a_m_m_fatlatin_01
Ambient Male|a_m_m_genfat_01
Ambient Male|a_m_m_genfat_02
Ambient Male|a_m_m_golfer_01
Ambient Male|a_m_m_hasjew_01
Ambient Male|a_m_m_hillbilly_01
Ambient Male|a_m_m_hillbilly_02
Ambient Male|a_m_m_indian_01
Ambient Male|a_m_m_ktown_01
Ambient Male|a_m_m_malibu_01
Ambient Male|a_m_m_mexcntry_01
Ambient Male|a_m_m_mexlabor_01
Ambient Male|a_m_m_mlcrisis_01
Ambient Male|a_m_m_og_boss_01
Ambient Male|a_m_m_paparazzi_01
Ambient Male|a_m_m_polynesian_01
Ambient Male|a_m_m_prolhost_01
Ambient Male|a_m_m_rurmeth_01
Ambient Male|a_m_m_salton_01
Ambient Male|a_m_m_salton_02
Ambient Male|a_m_m_salton_03
Ambient Male|a_m_m_salton_04
Ambient Male|a_m_m_skater_01
Ambient Male|a_m_m_skidrow_01
Ambient Male|a_m_m_socenlat_01
Ambient Male|a_m_m_soucent_01
Ambient Male|a_m_m_soucent_02
Ambient Male|a_m_m_soucent_03
Ambient Male|a_m_m_soucent_04
Ambient Male|a_m_m_stlat_02
Ambient Male|a_m_m_tennis_01
Ambient Male|a_m_m_tourist_01
Ambient Male|a_m_m_tramp_01
Ambient Male|a_m_m_trampbeac_01
Ambient Male|a_m_m_tranvest_01
Ambient Male|a_m_m_tranvest_02
Ambient Male|a_m_o_acult_01
Ambient Male|a_m_o_acult_02
Ambient Male|a_m_o_beach_01
Ambient Male|a_m_o_genstreet_01
Ambient Male|a_m_o_ktown_01
Ambient Male|a_m_o_salton_01
Ambient Male|a_m_o_soucent_01
Ambient Male|a_m_o_soucent_02
Ambient Male|a_m_o_soucent_03
Ambient Male|a_m_o_tramp_01
Ambient Male|a_m_y_acult_01
Ambient Male|a_m_y_acult_02
Ambient Male|a_m_y_beach_01
Ambient Male|a_m_y_beach_02
Ambient Male|a_m_y_beach_03
Ambient Male|a_m_y_beachvesp_01
Ambient Male|a_m_y_beachvesp_02
Ambient Male|a_m_y_bevhills_01
Ambient Male|a_m_y_bevhills_02
Ambient Male|a_m_y_breakdance_01
Ambient Male|a_m_y_busicas_01
Ambient Male|a_m_y_business_01
Ambient Male|a_m_y_business_02
Ambient Male|a_m_y_business_03
Ambient Male|a_m_y_cyclist_01
Ambient Male|a_m_y_dhill_01
Ambient Male|a_m_y_downtown_01
Ambient Male|a_m_y_eastsa_01
Ambient Male|a_m_y_eastsa_02
Ambient Male|a_m_y_epsilon_01
Ambient Male|a_m_y_epsilon_02
Ambient Male|a_m_y_gay_01
Ambient Male|a_m_y_gay_02
Ambient Male|a_m_y_genstreet_01
Ambient Male|a_m_y_genstreet_02
Ambient Male|a_m_y_golfer_01
Ambient Male|a_m_y_hasjew_01
Ambient Male|a_m_y_hiker_01
Ambient Male|a_m_y_hippy_01
Ambient Male|a_m_y_hipster_01
Ambient Male|a_m_y_hipster_02
Ambient Male|a_m_y_hipster_03
Ambient Male|a_m_y_indian_01
Ambient Male|a_m_y_jetski_01
Ambient Male|a_m_y_juggalo_01
Ambient Male|a_m_y_ktown_01
Ambient Male|a_m_y_ktown_02
Ambient Male|a_m_y_latino_01
Ambient Male|a_m_y_methhead_01
Ambient Male|a_m_y_mexthug_01
Ambient Male|a_m_y_motox_01
Ambient Male|a_m_y_motox_02
Ambient Male|a_m_y_musclbeac_01
Ambient Male|a_m_y_musclbeac_02
Ambient Male|a_m_y_polynesian_01
Ambient Male|a_m_y_roadcyc_01
Ambient Male|a_m_y_runner_01
Ambient Male|a_m_y_runner_02
Ambient Male|a_m_y_salton_01
Ambient Male|a_m_y_skater_01
Ambient Male|a_m_y_skater_02
Ambient Male|a_m_y_soucent_01
Ambient Male|a_m_y_soucent_02
Ambient Male|a_m_y_soucent_03
Ambient Male|a_m_y_soucent_04
Ambient Male|a_m_y_stbla_01
Ambient Male|a_m_y_stbla_02
Ambient Male|a_m_y_stlat_01
Ambient Male|a_m_y_stwhi_01
Ambient Male|a_m_y_stwhi_02
Ambient Male|a_m_y_sunbathe_01
Ambient Male|a_m_y_surfer_01
Ambient Male|a_m_y_vindouche_01
Ambient Male|a_m_y_vinewood_01
Ambient Male|a_m_y_vinewood_02
Ambient Male|a_m_y_vinewood_03
Ambient Male|a_m_y_vinewood_04
Ambient Male|a_m_y_yoga_01
Animals|a_c_boar
Animals|a_c_cat_01
Animals|a_c_chickenhawk
Animals|a_c_chimp
Animals|a_c_chop
Animals|a_c_cormorant
Animals|a_c_cow
Animals|a_c_coyote
Animals|a_c_crow
Animals|a_c_deer
Animals|a_c_dolphin
Animals|a_c_fish
Animals|a_c_hen
Animals|a_c_humpback
Animals|a_c_husky
Animals|a_c_killerwhale
Animals|a_c_mtlion
Animals|a_c_pig
Animals|a_c_pigeon
Animals|a_c_poodle
Animals|a_c_pug
Animals|a_c_rabbit_01
Animals|a_c_rat
Animals|a_c_retriever
Animals|a_c_rhesus
Animals|a_c_rottweiler
Animals|a_c_seagull
Animals|a_c_sharkhammer
Animals|a_c_sharktiger
Animals|a_c_shepherd
Animals|a_c_stingray
Animals|a_c_westy
Gang Female|g_f_importexport_01
Gang Female|g_f_m_fooliganz_01
Gang Female|g_f_m_friedlandergoons_01
Gang Female|g_f_m_undeadmage
Gang Female|g_f_y_ballas_01
Gang Female|g_f_y_families_01
Gang Female|g_f_y_lost_01
Gang Female|g_f_y_vagos_01
Gang Male|g_m_importexport_01
Gang Male|g_m_m_armboss_01
Gang Male|g_m_m_armgoon_01
Gang Male|g_m_m_armlieut_01
Gang Male|g_m_m_cartelguards_01
Gang Male|g_m_m_cartelguards_02
Gang Male|g_m_m_casrn_01
Gang Male|g_m_m_chemwork_01
Gang Male|g_m_m_chiboss_01
Gang Male|g_m_m_chicold_01
Gang Male|g_m_m_chigoon_01
Gang Male|g_m_m_chigoon_02
Gang Male|g_m_m_fooliganz_01
Gang Male|g_m_m_friedlandergoons_01
Gang Male|g_m_m_genthug_01
Gang Male|g_m_m_goons_01
Gang Male|g_m_m_korboss_01
Gang Male|g_m_m_mexboss_01
Gang Male|g_m_m_mexboss_02
Gang Male|g_m_y_armgoon_02
Gang Male|g_m_y_azteca_01
Gang Male|g_m_y_ballaeast_01
Gang Male|g_m_y_ballaorig_01
Gang Male|g_m_y_ballasout_01
Gang Male|g_m_y_famca_01
Gang Male|g_m_y_famdnf_01
Gang Male|g_m_y_famfor_01
Gang Male|g_m_y_korean_01
Gang Male|g_m_y_korean_02
Gang Male|g_m_y_korlieut_01
Gang Male|g_m_y_lost_01
Gang Male|g_m_y_lost_02
Gang Male|g_m_y_lost_03
Gang Male|g_m_y_mexgang_01
Gang Male|g_m_y_mexgoon_01
Gang Male|g_m_y_mexgoon_02
Gang Male|g_m_y_mexgoon_03
Gang Male|g_m_y_pologoon_01
Gang Male|g_m_y_pologoon_02
Gang Male|g_m_y_salvaboss_01
Gang Male|g_m_y_salvagoon_01
Gang Male|g_m_y_salvagoon_02
Gang Male|g_m_y_salvagoon_03
Gang Male|g_m_y_strpunk_01
Gang Male|g_m_y_strpunk_02
Multiplayer|mp_f_boatstaff_01
Multiplayer|mp_f_cardesign_01
Multiplayer|mp_f_chbar_01
Multiplayer|mp_f_cocaine_01
Multiplayer|mp_f_counterfeit_01
Multiplayer|mp_f_deadhooker
Multiplayer|mp_f_execpa_01
Multiplayer|mp_f_execpa_02
Multiplayer|mp_f_forgery_01
Multiplayer|mp_f_freemode_01
Multiplayer|mp_f_helistaff_01
Multiplayer|mp_f_meth_01
Multiplayer|mp_f_misty_01
Multiplayer|mp_f_stripperlite
Multiplayer|mp_f_weed_01
Multiplayer|mp_g_m_pros_01
Multiplayer|mp_headtargets
Multiplayer|mp_m_avongoon
Multiplayer|mp_m_boatstaff_01
Multiplayer|mp_m_bogdangoon
Multiplayer|mp_m_claude_01
Multiplayer|mp_m_cocaine_01
Multiplayer|mp_m_counterfeit_01
Multiplayer|mp_m_exarmy_01
Multiplayer|mp_m_execpa_01
Multiplayer|mp_m_famdd_01
Multiplayer|mp_m_fibsec_01
Multiplayer|mp_m_forgery_01
Multiplayer|mp_m_freemode_01
Multiplayer|mp_m_g_vagfun_01
Multiplayer|mp_m_marston_01
Multiplayer|mp_m_meth_01
Multiplayer|mp_m_niko_01
Multiplayer|mp_m_securoguard_01
Multiplayer|mp_m_shopkeep_01
Multiplayer|mp_m_waremech_01
Multiplayer|mp_m_weapexp_01
Multiplayer|mp_m_weapwork_01
Multiplayer|mp_m_weed_01
Multiplayer|mp_s_m_armoured_01
Scenario Female|s_f_m_fembarber
Scenario Female|s_f_m_maid_01
Scenario Female|s_f_m_shop_high
Scenario Female|s_f_m_sweatshop_01
Scenario Female|s_f_y_airhostess_01
Scenario Female|s_f_y_bartender_01
Scenario Female|s_f_y_baywatch_01
Scenario Female|s_f_y_beachbarstaff_01
Scenario Female|s_f_y_casino_01
Scenario Female|s_f_y_clubbar_01
Scenario Female|s_f_y_cop_01
Scenario Female|s_f_y_factory_01
Scenario Female|s_f_y_hooker_01
Scenario Female|s_f_y_hooker_02
Scenario Female|s_f_y_hooker_03
Scenario Female|s_f_y_migrant_01
Scenario Female|s_f_y_movprem_01
Scenario Female|s_f_y_ranger_01
Scenario Female|s_f_y_scrubs_01
Scenario Female|s_f_y_sheriff_01
Scenario Female|s_f_y_shop_low
Scenario Female|s_f_y_shop_mid
Scenario Female|s_f_y_stripper_01
Scenario Female|s_f_y_stripper_02
Scenario Female|s_f_y_stripperlite
Scenario Female|s_f_y_sweatshop_01
Scenario Male|s_m_m_ammucountry
Scenario Male|s_m_m_armoured_01
Scenario Male|s_m_m_armoured_02
Scenario Male|s_m_m_autoshop_01
Scenario Male|s_m_m_autoshop_02
Scenario Male|s_m_m_bouncer_01
Scenario Male|s_m_m_bouncer_02
Scenario Male|s_m_m_ccrew_01
Scenario Male|s_m_m_chemsec_01
Scenario Male|s_m_m_ciasec_01
Scenario Male|s_m_m_cntrybar_01
Scenario Male|s_m_m_dockwork_01
Scenario Male|s_m_m_doctor_01
Scenario Male|s_m_m_drugprocess_01
Scenario Male|s_m_m_fiboffice_01
Scenario Male|s_m_m_fiboffice_02
Scenario Male|s_m_m_fibsec_01
Scenario Male|s_m_m_gaffer_01
Scenario Male|s_m_m_gardener_01
Scenario Male|s_m_m_gentransport
Scenario Male|s_m_m_hairdress_01
Scenario Male|s_m_m_highsec_01
Scenario Male|s_m_m_highsec_02
Scenario Male|s_m_m_highsec_03
Scenario Male|s_m_m_highsec_04
Scenario Male|s_m_m_janitor
Scenario Male|s_m_m_lathandy_01
Scenario Male|s_m_m_lifeinvad_01
Scenario Male|s_m_m_linecook
Scenario Male|s_m_m_lsmetro_01
Scenario Male|s_m_m_mariachi_01
Scenario Male|s_m_m_marine_01
Scenario Male|s_m_m_marine_02
Scenario Male|s_m_m_migrant_01
Scenario Male|s_m_m_movalien_01
Scenario Male|s_m_m_movprem_01
Scenario Male|s_m_m_movspace_01
Scenario Male|s_m_m_paramedic_01
Scenario Male|s_m_m_pilot_01
Scenario Male|s_m_m_pilot_02
Scenario Male|s_m_m_postal_01
Scenario Male|s_m_m_postal_02
Scenario Male|s_m_m_prisguard_01
Scenario Male|s_m_m_raceorg_01
Scenario Male|s_m_m_scientist_01
Scenario Male|s_m_m_security_01
Scenario Male|s_m_m_snowcop_01
Scenario Male|s_m_m_strperf_01
Scenario Male|s_m_m_strpreach_01
Scenario Male|s_m_m_strvend_01
Scenario Male|s_m_m_studioassist_01
Scenario Male|s_m_m_studioprod_01
Scenario Male|s_m_m_trucker_01
Scenario Male|s_m_m_ups_01
Scenario Male|s_m_m_ups_02
Scenario Male|s_m_o_busker_01
Scenario Male|s_m_y_airworker
Scenario Male|s_m_y_ammucity_01
Scenario Male|s_m_y_armymech_01
Scenario Male|s_m_y_autopsy_01
Scenario Male|s_m_y_barman_01
Scenario Male|s_m_y_baywatch_01
Scenario Male|s_m_y_blackops_01
Scenario Male|s_m_y_blackops_02
Scenario Male|s_m_y_blackops_03
Scenario Male|s_m_y_busboy_01
Scenario Male|s_m_y_casino_01
Scenario Male|s_m_y_chef_01
Scenario Male|s_m_y_clown_01
Scenario Male|s_m_y_clubbar_01
Scenario Male|s_m_y_construct_01
Scenario Male|s_m_y_construct_02
Scenario Male|s_m_y_cop_01
Scenario Male|s_m_y_dealer_01
Scenario Male|s_m_y_devinsec_01
Scenario Male|s_m_y_dockwork_01
Scenario Male|s_m_y_doorman_01
Scenario Male|s_m_y_dwservice_01
Scenario Male|s_m_y_dwservice_02
Scenario Male|s_m_y_factory_01
Scenario Male|s_m_y_fireman_01
Scenario Male|s_m_y_garbage
Scenario Male|s_m_y_grip_01
Scenario Male|s_m_y_hwaycop_01
Scenario Male|s_m_y_marine_01
Scenario Male|s_m_y_marine_02
Scenario Male|s_m_y_marine_03
Scenario Male|s_m_y_mime
Scenario Male|s_m_y_pestcont_01
Scenario Male|s_m_y_pilot_01
Scenario Male|s_m_y_prismuscl_01
Scenario Male|s_m_y_prisoner_01
Scenario Male|s_m_y_ranger_01
